ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
793,图形选择 4 - 位置 38,4,38,25,6844.949301769611300,38,肯德基(汉口城市广场店),鸡腿披萨，冰拿铁，榛果风味冰拿铁，香甜粟米棒，芙蓉荟蔬汤，劲爆鸡米花，香辣鸡翅，醇香土豆泥，九珍果汁饮料，黄金鸡块，美式，榛果风味热拿铁，吮指原味鸡套餐，榛果风味拿铁，吮指原味鸡，鲜蔬沙拉，红豆派，新奥尔良烤翅，圣代，冰美式，拿铁，汉堡，玉米汁
794,图形选择 4 - 位置 59,4,59,26,6994.430115125278500,59,肯德基(菱角湖餐厅),新奥尔良烤鸡翅，醇香土豆泥，吮指原味鸡块，圣代，冰淇淋之神，北海道冰淇淋，新奥尔良烤翅，鸡米花，麦辣鸡腿汉堡，香菇鸡排饭，吮指原味鸡套餐，香辣鸡腿堡，草莓圣代，川椒麻香翅，麻辣鸡肉饭，红豆珍珠奶茶，板烧鸡腿堡，巧克力味冰淇淋花筒，劲脆鸡腿堡，霜糖油条，豪
795,图形选择 4 - 位置 13,4,13,27,7073.771335035649800,13,肯德基(销品茂),新奥尔良烤翅，葡式蛋挞，薯条，圣代，京卷，劲爆鸡米花，吮指原味鸡块，爱尔兰雪顶咖啡，醇豆浆，上校鸡块，香辣鸡腿堡土豆泥餐，辣翅，香菇滑鸡粥，香甜栗米棒，雪顶，超值午餐，田园脆鸡堡，玉米杯，泰式鸡肉卷，木耳金针排骨粥，bbq手撕猪肉卷，辣子鸡丁，超值全家桶，?
796,图形选择 4 - 位置 63,4,63,28,7198.440500300051100,63,肯德基(水果湖店),麦辣鸡腿汉堡，香辣鸡腿汉堡，老北京鸡肉卷，榛果风味冰拿铁，嫩牛五方，咖喱鸡饭，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，小吃拼盘，草莓沙冰，柚子茶，新奥尔良腿堡，仙草奶茶，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪肉堡，香辣鸡?
797,图形选择 4 - 位置 6,4,6,29,7244.231053958626000,6,肯德基(音乐学院店),香辣鸡翅，九珍果汁饮料，五味小吃桶，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰美式，吮指原味鸡套餐，拿铁，根骨肉相连加，榛果风味冰拿铁，美式，超级外送全家桶，黄金鸡块，鲜蔬沙拉，香辣鸡腿堡土豆泥餐，香辣鸡腿堡，香甜粟米棒，醇香土豆泥，葡式蛋挞，芙蓉荟蔬汤
798,图形选择 4 - 位置 62,4,62,30,7459.972276229262200,62,肯德基(维新店),圣代，吮指原味鸡块，双果圣代，普罗旺斯鸡腿，田园脆鸡堡，原味蛋挞，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，上校鸡块，香辣鸡腿堡土豆泥餐，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米
799,图形选择 4 - 位置 27,4,27,31,7479.681726841965400,27,肯德基(东湖听涛景区店),海盐双旋甜筒，新奥尔良烤鸡腿堡，香辣鸡翅，草莓味冰淇淋花筒，九珍果汁饮料，黄金鸡块，香辣鸡腿堡，雪顶咖啡，草莓圣代，巧克力味冰淇淋花筒，劲脆鸡腿堡，巧克力圣代，吮指原味鸡，红豆派，新奥尔良烤翅，葡式蛋挞，香脆海苔虾，香甜栗米棒，伴鸡伴虾堡，bbq手撕猪肉卷?
800,图形选择 4 - 位置 11,4,11,32,7543.920733358184400,11,肯德基(惠济一路店),炸鸡翅，田园脆鸡堡，香辣鸡腿汉堡，鸡米花，香菇鸡排饭，吮指原味鸡套餐，香辣鸡腿堡，草莓圣代，川椒麻香翅，奥利奥圣代，五味小吃桶，麻辣鸡肉饭，红豆珍珠奶茶，板烧鸡腿堡，巧克力味冰淇淋花筒，劲脆鸡腿堡，鸡肉汉堡，霜糖油条，豪霸鸡腿，蜂蜜花梨茶，蘑菇饭，草莓旋
801,图形选择 4 - 位置 7,4,7,33,7555.578791791485900,7,肯德基(汉口火车站餐厅),全家桶，新奥尔良烤鸡腿堡，红豆派，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，现磨咖啡，葡?
802,图形选择 4 - 位置 71,4,71,34,7622.351791419879200,71,肯德基(杨园南路店),九珍果汁饮料，香辣鸡翅，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰美式，劲爆鸡米花，吮指原味鸡，吮指原味鸡套餐，圣代，拿铁，新奥尔良烤翅，新奥尔良烤鸡腿堡，新奥良腿堡土豆泥餐，根骨肉相连加，榛果风味冰拿铁，榛果风味拿铁，榛果风味热拿铁，红豆派，美式，老北
